R package version: 0.0-13
Treatment: 28
Medium: SDM_rhlk_CTGNH
Screen ID: QFA0015
Screen name: cdc13-1_DIL
Libraries: SDLV4_384
Client: DJW
User: APB
Date: 2013/06/10 
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	61.664407065813	61.6496381965565	98.3348687513114	10	3.13583910223901
EFB1	YAL003W	58.5146704981297	61.4664860850306	1169.72441992498	8	12.0919623093451
YAL004W	YAL004W	73.2614669244881	66.2017776682875	468.733520588426	10	6.84641161915076
SSA1	YAL005C	65.1347772456035	59.2662761776481	301.57435242627	10	5.49157857474761
ERP2	YAL007C	70.8909909359402	67.3934754520573	576.904686909572	10	7.59542419427363
FUN14	YAL008W	60.9910914611562	55.5598866752162	226.72804990324	10	4.76159689498429
MDM10	YAL010C	48.4735206260972	56.2474038312006	207.783501220706	10	4.55832755756655
SWC3	YAL011W	25.4522201786361	35.0881207569088	445.766711902083	10	6.67657630752531
DEP1	YAL013W	24.9840596800968	22.7481911336681	115.588696006362	10	3.3998337607354
SYN8	YAL014C	80.9013647248138	68.6770668920912	848.808822359286	10	9.2130821246708
NTG1	YAL015C	71.6903352374649	66.5518429754039	538.487331736208	10	7.33816960649049
PSK1	YAL017W	68.3622763372954	62.5253194384106	418.31823322455	10	6.46775257121475
YAL018C	YAL018C	59.3813832527132	57.0914166274695	415.341317595826	10	6.44469795720347
FUN30	YAL019W	61.2020282222868	56.8443873682966	129.339615046936	10	3.59638172399616
ATS1	YAL020C	73.3477060768205	57.6798647084807	1569.35880423295	10	12.5274051751867
FUN26	YAL022C	71.9367184268401	63.691646830505	527.787593614741	10	7.26489912947689
PMT2	YAL023C	82.4494357416406	71.8035836785367	726.602716051685	10	8.52409946007017
LTE1	YAL024C	0	0	0	8	0
MAK16	YAL025C	57.0565168729415	51.4837783838691	557.946418930518	8	8.35124555777848
DRS2	YAL026C	53.52968567141	50.5680418893091	183.809700197013	10	4.28730335055747
YAL027W	YAL027W	65.1308258976503	66.6790227267799	356.888733184815	10	5.97401651474797
FRT2	YAL028W	66.3641935664644	52.8946807102749	1334.27991742978	10	11.5511034859436
MYO4	YAL029C	66.5942483929932	67.2053667513879	276.978019344802	10	5.26287012327686
SNC1	YAL030W	42.5242510267678	42.925789138086	492.01698878761	10	7.01439226724318
GIP4	YAL031C	69.4619234927559	63.852749853396	700.350125788847	10	8.36869240556042
PRP45	YAL032C	47.1064193639432	47.578209956258	417.435164933969	8	7.22353068912607
POP5	YAL033W	25.8687088906084	30.3486960263819	429.323439588418	8	7.32566924919166
FUN19	YAL034C	91.2359143281765	78.9164188561439	861.314320864534	10	9.28070213326844
MTW1	YAL034W-A	56.3564422268908	45.8080556455817	546.417000153361	8	8.26450996848392
RBG1	YAL036C	51.7640986918447	45.4985262417483	621.537087597565	10	7.88376234800089
YAL037W	YAL037W	95.3578278651995	83.5923781161165	819.918423221849	10	9.054934694529
CDC19	YAL038W	38.3228180135378	48.6654826745859	1090.07028962514	8	11.6729938834535
CLN3	YAL040C	60.219613992403	53.6099136481195	962.916005996892	10	9.81282836901213
CDC24	YAL041W	68.6697640218906	58.8718702904676	1011.63965594401	8	11.2452192950161
ERV46	YAL042W	49.6762476551182	46.5891387442842	388.430464243198	10	6.23241898658296
PTA1	YAL043C	43.9690232223648	43.8189952741722	229.902684585062	8	5.36076818871445
YAL043C-A	YAL043C-A	46.7161140389157	46.285801872794	113.52713825151	10	3.36937884856407
YAL045C	YAL045C	76.9926347609293	72.9577053411286	909.17010784778	10	9.5350412051956
YAL046C	YAL046C	30.3401711803747	28.1021556859721	224.708154005916	8	5.29986030483253
GEM1	YAL048C	0	2.43744557756971	47.5291275489132	8	2.43744557756971
YAL049C	YAL049C	75.9873944838563	69.4778105126567	584.65142384825	10	7.64625021725192
OAF1	YAL051W	56.9273408676592	44.2249565159668	893.613806236057	10	9.45311486355718
FLC2	YAL053W	68.817508451091	60.9630713951386	386.996541644971	10	6.2209046098214
ACS1	YAL054C	79.4606563089	61.7858758946589	994.898949240557	10	9.97446213708066
PEX22	YAL055W	67.3498283528996	54.2393274512603	1161.43903336255	10	10.7770080883451
GPB2	YAL056W	55.1351116118892	51.2780674627994	396.454274260065	10	6.29646150039897
YAL058C-A	YAL058C-A	82.962735322607	84.3064754034303	463.11907311891	10	6.80528524838533
CNE1	YAL058W	72.2815784302825	63.6806580985059	490.772151277085	10	7.00551319517054
ECM1	YAL059W	101.336604527859	96.3837469556456	2002.47999858784	10	14.1509010263935
BDH1	YAL060W	65.1732984755687	59.046710039913	329.666273983518	10	5.74165719965515
YAL061W	YAL061W	62.6325614054359	55.780280263271	332.662335429933	10	5.76768875226406
GDH3	YAL062W	97.5365685265966	77.3644215708797	1773.99707295927	10	13.3191481445296
YAL064C-A	YAL064C-A	90.2463940357422	77.6501365746017	955.885191474374	10	9.77693812742197
YAL065C	YAL065C	50.8719700864581	45.2330295525262	505.993321354412	10	7.11332075302676
YAL066W	YAL066W	58.5836710327614	54.6112554621299	213.554275891972	10	4.62119330792352
SEO1	YAL067C	57.7363009977492	52.1061830535319	163.927469803629	10	4.04879574446067
PAU8	YAL068C	78.334953004799	73.1472889761373	549.586602396006	10	7.4134108370979
ERP1	YAR002C-A	61.2054160654836	59.270861575827	706.589782725843	10	8.4058894991895
NUP60	YAR002W	22.1931805723743	21.8685952764846	13.3937239870063	10	1.15731257605741
SWD1	YAR003W	18.4179142375611	16.9794403035139	45.5185611795856	10	2.13350793716793
RFA1	YAR007C	83.5020335667274	74.3598872956552	842.026591261209	8	10.2593042604092
SEN34	YAR008W	27.1335294632724	27.8018176663424	202.104197186875	8	5.02623364442595
BUD14	YAR014C	69.1648245101587	64.9149874665803	714.381809510787	10	8.45211103518397
ADE1	YAR015W	80.5700012513964	79.1129835486502	567.148864765396	10	7.53092865963685
KIN3	YAR018C	66.5512160544332	68.6850006621659	208.567360243559	10	4.56691756268447
CDC15	YAR019C	27.2569521541348	28.3761034719243	501.997595401461	8	7.92147078674047
PAU7	YAR020C	78.3806206348576	68.7556699532791	689.416372149154	10	8.30311009290588
YAR023C	YAR023C	50.4703579200464	49.3128416272571	235.68240420449	10	4.85471321711684
UIP3	YAR027W	67.0955453686538	55.2170977578481	852.256774343844	10	9.23177542157435
YAR028W	YAR028W	56.8948638470116	51.2981681613213	339.388412100681	10	5.82570521139442
YAR029W	YAR029W	98.0164744742864	82.9017732853315	987.108861771577	10	9.93533523224846
YAR030C	YAR030C	75.3763921854348	60.4296012553628	1607.46844398309	10	12.6785978877125
PRM9	YAR031W	75.7375775336787	70.3051142292134	770.376357663539	10	8.777108622226
YAT1	YAR035W	47.9503350873997	43.9994371369758	1013.23910241866	10	10.0659778582047
YAR037W	YAR037W	72.3648580204331	63.377860092698	1102.48679642124	10	10.4999371256272
YAR040C	YAR040C	64.1958495374726	56.0504922504738	272.654582757704	10	5.22163367881838
SWH1	YAR042W	36.4941600893783	36.6155474880651	41.5153572080815	10	2.03753177172974
YAR043C	YAR043C	44.6271156611957	49.6178714977637	429.196179449796	10	6.55130658303972
OSH1	YAR044W	29.3668846779856	32.8372371086229	849.774031101227	10	9.21831888741775
YAR047C	YAR047C	45.7089488918229	45.3231718388217	282.367252022974	10	5.31382397170789
FLO1	YAR050W	69.5259338348938	67.0779188468803	739.396209409005	10	8.59881508935391
ECM15	YBL001C	106.186780285437	91.7756513967554	1246.87056752612	10	11.1663358695954
HTA2	YBL003C	64.2371626194067	59.507953007194	503.519852882569	10	7.09591328077344
UTP20	YBL004W	46.2857482871456	44.5132874531437	675.268874739689	8	9.18741581417001
PDR3	YBL005W	88.2408943473154	75.2057993821365	854.464609730727	10	9.24372549208774
SLA1	YBL007C	70.0656408301288	65.5903887035259	222.132155971559	10	4.71308981424669
HIR1	YBL008W	82.7546504420629	71.5793479864034	864.034409853925	10	9.29534512459825
ALK2	YBL009W	35.5585147796693	40.9098577108833	290.407411178184	10	5.38894619733936
YBL010C	YBL010C	79.7512770968972	67.4540989533019	693.545671024856	10	8.32793894685148
SCT1	YBL011W	106.987883591901	92.5274912705274	1103.90185994746	10	10.5066734028781
FMT1	YBL013W	52.7060323905637	47.1483036606177	474.692381303971	10	6.88979231402493
RRN6	YBL014C	44.313571746239	48.5886780773609	409.686452366134	8	7.15617261849983
ACH1	YBL015W	66.6006803787712	60.3207640855685	442.051285142104	10	6.6486937449555
FUS3	YBL016W	67.6489498324952	61.6194273319251	374.149844829889	10	6.11677893036759
