R package version: 0.0-12
Treatment: 30
Medium: 100mM_HU_CSM 
Screen ID: QFA0044
Screen name: G4Quad_Drugs
Libraries: SDLV3_384
Client: EJA
User: 
Date: 2011/10/17 
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	56.6481728150698	51.7640834785382	1911.93532374925	4	21.8628413280917
YAL004W	YAL004W	113.245163463204	115.788792818326	392.213972411001	4	9.90219637771087
SSA1	YAL005C	91.6401971697366	88.9620439014265	965.405366782171	4	15.5354865290902
ERP2	YAL007C	109.584089244061	111.147355021464	209.317829777068	4	7.2339102457984
FUN14	YAL008W	111.677677959349	112.28151317556	21.0573428143948	4	2.29441402183623
MDM10	YAL010C	31.3060172209619	37.7441731029963	2010.0297407356	4	22.4166776125254
SWC3	YAL011W	98.6132101862285	97.9474645820758	55.3513125037222	4	3.71992313441159
DEP1	YAL013W	102.348201847948	101.414113205613	112.406554573381	4	5.30109787151163
SYN8	YAL014C	133.946230991777	133.613989225967	206.636858345763	4	7.18743449267127
NTG1	YAL015C	115.142556386583	114.729633233761	43.7232467532274	4	3.30617780651719
PSK1	YAL017W	111.427890085485	115.779303432977	99.6774156779718	4	4.99192887764769
YAL018C	YAL018C	112.075745085574	112.039969738277	6.23984838180918	4	1.24898442562439
FUN30	YAL019W	104.190175285568	107.422720466597	58.6969404089447	4	3.8306964252256
ATS1	YAL020C	129.379258430421	129.553652080416	134.659450596709	4	5.80214293594851
FUN26	YAL022C	119.989492218679	122.081879934775	194.359936241312	4	6.97065162379588
PMT2	YAL023C	113.75270763926	114.792852039501	28.0683961085583	4	2.64898075250455
DRS2	YAL026C	89.9831766741086	91.6290443310988	78.5769899880448	4	4.43218315246687
YAL027W	YAL027W	113.058165353444	113.87559932619	240.919484993026	4	7.76079063293532
FRT2	YAL028W	111.540566306336	106.65426598632	338.463440861148	4	9.19868796162186
MYO4	YAL029C	112.948603429258	114.685495789983	150.650364528938	4	6.13698550855667
SNC1	YAL030W	129.167944984939	135.471341713946	1356.14636666974	4	18.4129463059945
GIP4	YAL031C	111.496077409654	110.429698666135	106.257246284857	4	5.15405777724837
FUN19	YAL034C	116.163441142012	116.119972530673	138.212371995615	4	5.87818790095246
RBG1	YAL036C	115.104598902166	121.773399743901	342.932611606056	4	9.25921988622768
YAL037W	YAL037W	125.043281643563	124.759414168235	161.812931600533	4	6.36028559894391
CLN3	YAL040C	122.33474214319	132.857885569269	793.115266056364	4	14.0811511075654
ERV46	YAL042W	117.126965341644	120.156199649472	199.800345882186	4	7.06753751108167
YAL043C-A	YAL043C-A	121.620684623111	127.688979567936	582.103717147101	4	12.0634128374509
YAL045C	YAL045C	120.010236386389	120.851449499705	9.91164744586243	4	1.57413845053909
YAL049C	YAL049C	118.385798222656	117.170020239286	15.2604689676111	4	1.95323251096811
OAF1	YAL051W	133.341732348786	144.032492466345	772.127550179573	4	13.8935915999029
FLC2	YAL053W	117.60436284675	116.854372301425	100.477613849214	4	5.01192612298939
ACS1	YAL054C	136.144249495859	152.510820475943	1175.51478565351	4	17.1428905501195
PEX22	YAL055W	123.096186252525	124.077140383225	44.7174257429156	4	3.34355446130744
GPB2	YAL056W	117.703021012184	115.865968641284	190.836856057243	4	6.90718567973315
YAL058C-A	YAL058C-A	109.725405076124	103.545544738231	302.312319561971	4	8.69356543027616
CNE1	YAL058W	114.488492438261	111.74298103594	37.3486977999959	4	3.05567904891842
ECM1	YAL059W	94.4622854178766	106.430897523677	663.945358663156	4	12.8835685920396
BDH1	YAL060W	108.40810512037	107.736106780044	34.4832001891784	4	2.93611989661434
YAL061W	YAL061W	135.035324933307	137.68005106472	1540.05415347236	4	19.6217618568794
GDH3	YAL062W	106.318251486437	106.270695183992	50.8213866010538	4	3.5644560104262
YAL064C-A	YAL064C-A	126.845101645337	126.470096380344	94.0803310622574	4	4.84975079417122
YAL065C	YAL065C	107.313416405002	83.3963515802969	3122.0912863625	4	27.9378385275351
YAL066W	YAL066W	110.134227758858	112.86317112971	249.219631395675	4	7.89334579560016
SEO1	YAL067C	111.723012158123	112.697289737763	42.6974493999401	4	3.26716426737087
PAU8	YAL068C	119.458877061723	120.696044606103	150.309238152731	4	6.13003340432845
ERP1	YAR002C-A	143.005892909086	142.527510938507	617.259807147348	4	12.4223569336433
NUP60	YAR002W	9.28951539882923	36.7842244328316	3819.99628913844	4	30.9030592706387
SWD1	YAR003W	10.436469440933	15.8423329043699	412.568308564698	4	10.1558887912961
BUD14	YAR014C	101.637420848775	103.44644499527	119.156748096472	4	5.45794714376366
ADE1	YAR015W	117.163521538228	117.383491410687	78.3817076308726	4	4.42667221597874
KIN3	YAR018C	130.487122395737	134.401924469538	100.981668221348	4	5.0244817698283
PAU7	YAR020C	109.565309788365	108.767863524624	46.6505825895147	4	3.41506158764065
YAR023C	YAR023C	118.841978747475	120.991939069612	68.9738314506628	4	4.15252427598752
UIP3	YAR027W	112.381102760706	108.129191521195	171.771691075089	4	6.55308498104307
YAR028W	YAR028W	106.596324127295	99.2882188367209	646.841892814158	4	12.716543288313
YAR029W	YAR029W	120.09751352031	126.593745454709	683.699501154068	4	13.0738240499296
YAR030C	YAR030C	130.03557274574	131.480879437351	257.722599290885	4	8.0268704874765
PRM9	YAR031W	122.894713927062	128.088088067579	254.81511716644	4	7.98146473346903
YAT1	YAR035W	116.822969921928	117.565417032268	57.8025965033588	4	3.80140094252628
YAR037W	YAR037W	125.147865982347	136.825740501713	976.925042415101	4	15.6279000701878
YAR040C	YAR040C	104.482670210119	98.4000116218478	359.785962566084	4	9.48401237038
SWH1	YAR042W	112.11299647869	108.46532920801	90.0030734047382	4	4.74349748088734
YAR043C	YAR043C	128.031462600348	144.390537895613	1661.21962427544	4	20.3790310385175
YAR044W	YAR044W	115.77911283323	118.712024512605	45.0707875099817	4	3.35673902433529
YAR047C	YAR047C	111.159252965611	112.210651721061	259.797107232723	4	8.05911141554581
FLO1	YAR050W	144.892060788638	149.816316045713	575.364084207379	4	11.9933740478585
ECM15	YBL001C	112.222985647355	111.257928986893	39.0330828172062	4	3.12382309106991
HTA2	YBL003C	112.041588315236	108.183441707437	84.0929944467318	4	4.58511162477894
PDR3	YBL005W	118.288988254069	117.434892823407	116.350332368267	4	5.39329056254775
SLA1	YBL007C	85.7702079047417	83.5407520365525	142.91267721779	4	5.97730451829648
HIR1	YBL008W	90.7807423689016	92.7742309424424	1575.84432654337	4	19.8484528776387
ALK2	YBL009W	97.5329816305648	99.8645659099543	138.988947927224	4	5.89467870047265
YBL010C	YBL010C	112.664927168556	115.267636234622	102.959101585099	4	5.07343822237689
SCT1	YBL011W	111.406186357567	117.423332320192	861.749716717561	4	14.6777869305761
FMT1	YBL013W	108.955695069161	106.742433541377	639.485185123712	4	12.6440221559806
ACH1	YBL015W	100.885105856142	98.7464647936998	90.2473520735615	4	4.74993031721418
FUS3	YBL016W	104.271179209464	103.310799131057	6.65871759389921	4	1.29022455350796
PEP1	YBL017C	111.749158064505	116.67404703259	132.670443743562	4	5.7591328284639
APN2	YBL019W	107.662638740223	109.765026255576	1278.62931496518	4	17.8789633016373
HAP3	YBL021C	74.2923359416836	71.2403704268422	93.7565884243947	4	4.84139929215704
NCL1	YBL024W	35.169613160107	43.8522629033596	2061.94218208425	4	22.7043067615169
RPL19B	YBL027W	24.1208818847778	39.7553078702363	2393.59012601802	4	24.4621653069491
YBL028C	YBL028C	114.129700127201	112.005950962027	30.9126790075547	4	2.77995858816074
YBL029W	YBL029W	117.10291903171	124.484294077799	689.329031820122	4	13.127538152869
SHE1	YBL031W	61.2012876791589	51.1994216710675	1393.22276256362	4	18.6629496768572
HEK2	YBL032W	121.782321107804	126.655030239856	333.616015679171	4	9.1325792588837
YBL036C	YBL036C	115.79366551292	119.616658604262	133.700462799095	4	5.78144581396156
APL3	YBL037W	106.689195992718	105.584367385661	126.15594868709	4	5.61595825944001
URA7	YBL039C	115.744068278651	114.585281956025	40.5223413521387	4	3.18285804553622
FUI1	YBL042C	109.92022338632	109.545058454671	52.3844280455874	4	3.6188543783077
ECM13	YBL043W	137.903380688915	131.702217048159	739.247705763538	4	13.5945550291609
PSY4	YBL046W	114.195603372739	117.778135054112	235.13483703371	4	7.66705349260245
EDE1	YBL047C	100.868736702021	100.364902817664	140.182751430917	4	5.9199398525432
YBL048W	YBL048W	119.325129541542	122.476375365198	62.9498677667231	4	3.96704763541866
MOH1	YBL049W	110.637470168653	109.863507416182	6.00784855235351	4	1.22554564912466
PIN4	YBL051C	75.6371336365039	73.4929505263639	340.897606661957	4	9.2317063246991
SAS3	YBL052C	114.509477633853	118.661667953703	299.102474252563	4	8.64728966573577
YBL053W	YBL053W	108.483185275758	112.092128425907	79.7366995011875	4	4.46477041686321
YBL054W	YBL054W	122.252467516938	133.390341394021	938.939498410593	4	15.3210598394056
YBL055C	YBL055C	112.603499231761	115.253422744805	84.9771955458179	4	4.60915381457969
PTC3	YBL056W	113.986934699574	113.025995177287	132.99914897929	4	5.76626284909234
PTH2	YBL057C	114.825741552249	117.615899681898	281.754267378159	4	8.39276872340348
YBL059W	YBL059W	118.201044320081	119.562875396585	147.614185183149	4	6.07482891082434
YEL1	YBL060W	98.5874269451228	93.6905169692426	150.221467015979	4	6.12824336608745
SKT5	YBL061C	94.7842830960562	93.378434757276	108.967493722795	4	5.21937481224513
YBL062W	YBL062W	101.837356540403	103.281444629026	299.521169826491	4	8.65333995961229
KIP1	YBL063W	113.306501088531	112.960890147472	1.85350268605747	4	0.680717027489667
PRX1	YBL064C	120.496535157071	119.785878975132	232.557883954875	4	7.6249243267536
