R package version: 0.0-12
Treatment: 30
Medium: CSM Lydall
Screen ID: QFA0044
Screen name: G4Quad_Drugs
Libraries: SDLV3_384
Client: EJA
User: 
Date: 2011/10/17 
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	153.90889820046	157.497604187502	1086.89215025586	4	16.4840237067278
YAL004W	YAL004W	196.586563431834	195.49160381453	35.8947484441548	4	2.99561130840413
SSA1	YAL005C	188.377759880427	190.088865563377	872.339631429029	4	14.767698123176
ERP2	YAL007C	210.330150421082	210.74314636558	59.285242282785	4	3.84984552556284
FUN14	YAL008W	217.368851750594	217.231686327047	210.940369460593	4	7.26189316674022
MDM10	YAL010C	42.3182909952189	49.5191612104823	3407.80318760516	4	29.1881961912909
SWC3	YAL011W	196.460946373514	208.863918072773	2847.27104675336	4	26.6799130749772
DEP1	YAL013W	192.616491307276	184.966033113132	624.666714125534	4	12.4966666968189
SYN8	YAL014C	212.787578138918	216.091645417727	161.862663277787	4	6.3612629107314
NTG1	YAL015C	212.312715394233	210.360066076121	125.328881241272	4	5.59751912103193
PSK1	YAL017W	216.364437253263	234.724779987504	1752.8433697691	4	20.9334861511951
YAL018C	YAL018C	217.14344451765	219.813974654393	1279.05949890435	4	17.881970661146
FUN30	YAL019W	208.503938731257	225.360579345811	2494.02360915596	4	24.9701001657781
ATS1	YAL020C	191.938130580973	203.307125212379	2505.10999198559	4	25.0255369172451
FUN26	YAL022C	203.058890953323	202.150549854366	65.7916662062696	4	4.05560310577445
PMT2	YAL023C	205.508129856127	205.708145991918	248.913228123855	4	7.88849206318696
DRS2	YAL026C	174.161307994623	170.256246552954	1004.71208819747	4	15.8485968479663
YAL027W	YAL027W	235.992188501089	233.895763777721	154.136628080569	4	6.20758866389698
FRT2	YAL028W	207.460493020786	208.196797474387	38.0267424520258	4	3.08329136038203
MYO4	YAL029C	250.113869205556	260.115221966301	3756.16713872073	4	30.643788680256
SNC1	YAL030W	207.253703671047	234.757689865752	4229.21509297546	4	32.5162078546048
GIP4	YAL031C	206.686945221783	209.062683044481	67.0096703063979	4	4.09297172926951
FUN19	YAL034C	220.836039036672	242.570192332645	2870.24471353977	4	26.7873324238332
RBG1	YAL036C	208.049689614118	212.960293422657	443.778996171663	4	10.533031332096
YAL037W	YAL037W	217.936243350914	224.53647544182	427.698870893009	4	10.3404408863091
CLN3	YAL040C	221.1302762275	216.225153478228	136.702881154243	4	5.84600036679445
ERV46	YAL042W	230.660806185403	233.078075586446	1529.35939762816	4	19.5535124570252
YAL043C-A	YAL043C-A	193.908495639035	192.330193601435	402.92482696917	4	10.0364937474345
YAL045C	YAL045C	214.440430277224	212.613288293161	88.7847734670853	4	4.71128362198364
YAL049C	YAL049C	205.52026955853	204.299461539335	263.385444754212	4	8.11457708007959
OAF1	YAL051W	250.843930706398	257.021292565224	1844.67644117083	4	21.4748483182701
