








#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	26.8431243523217	26.8366953179263	98.3348687513114	10	3.13583910223901
EFB1	YAL003W	25.4720129707894	26.7569673980611	1169.72441992498	8	12.0919623093451
YAL004W	YAL004W	31.8914388455672	28.8182865100442	468.733520588426	10	6.84641161915076
SSA1	YAL005C	28.3538107063684	25.7991943332517	301.57435242627	10	5.49157857474761
ERP2	YAL007C	30.8595472769534	29.3370443044065	576.904686909572	10	7.59542419427363
FUN14	YAL008W	26.5500234313176	24.1857664411172	226.72804990324	10	4.76159689498429
MDM10	YAL010C	21.1010014346272	24.4850494374289	207.783501220706	10	4.55832755756655
SWC3	YAL011W	11.0796023801643	15.2742049033528	445.766711902083	10	6.67657630752531
DEP1	YAL013W	10.8758074995012	9.90251187755232	115.588696006362	10	3.3998337607354
SYN8	YAL014C	35.2171616806914	29.8958043133308	848.808822359286	10	9.2130821246708
NTG1	YAL015C	31.2075097322356	28.9706733895666	538.487331736208	10	7.33816960649049
PSK1	YAL017W	29.7587728812714	27.2178879959488	418.31823322455	10	6.46775257121475
YAL018C	YAL018C	25.8493015778816	24.8524565288653	415.341317595826	10	6.44469795720347
FUN30	YAL019W	26.6418462830879	24.7449222568571	129.339615046936	10	3.59638172399616
ATS1	YAL020C	31.9289795988193	25.1086137801076	1569.35880423295	10	12.5274051751867
FUN26	YAL022C	31.3147627636912	27.7256018086851	527.787593614741	10	7.26489912947689
PMT2	YAL023C	35.8910522569287	31.2568078951638	726.602716051685	10	8.52409946007017
LTE1	YAL024C	0	0	0	8	0
MAK16	YAL025C	24.8372643216385	22.4113963150673	557.946418930518	8	8.35124555777848
DRS2	YAL026C	23.3019999281721	22.0127671906325	183.809700197013	10	4.28730335055747
YAL027W	YAL027W	28.3520906456476	29.0260359892206	356.888733184815	10	5.97401651474797
FRT2	YAL028W	28.8889877517979	23.0255760080021	1334.27991742978	10	11.5511034859436
MYO4	YAL029C	28.9891328859232	29.2551587324195	276.978019344802	10	5.26287012327686
SNC1	YAL030W	18.5112257234971	18.6860192221649	492.01698878761	10	7.01439226724318
GIP4	YAL031C	30.2374601295928	27.7957315428831	700.350125788847	10	8.36869240556042
PRP45	YAL032C	20.505888776801	20.711263873074	417.435164933969	8	7.22353068912607
POP5	YAL033W	11.2609040226965	13.2110865916139	429.323439588418	8	7.32566924919166
FUN19	YAL034C	39.7158930125638	34.3530951742469	861.314320864534	10	9.28070213326844
MTW1	YAL034W-A	24.5325149260951	19.9406982494791	546.417000153361	8	8.26450996848392
RBG1	YAL036C	22.5334225088396	19.8059570483039	621.537087597565	10	7.88376234800089
YAL037W	YAL037W	41.5102026136557	36.3885863409401	819.918423221849	10	9.054934694529
CDC19	YAL038W	16.6823005104205	21.1845644069106	1090.07028962514	8	11.6729938834535
CLN3	YAL040C	26.2141916830831	23.3369239574107	962.916005996892	10	9.81282836901213
CDC24	YAL041W	29.8926253019326	25.6275055620684	1011.63965594401	8	11.2452192950161
ERV46	YAL042W	21.624560368186	20.2807114231335	388.430464243198	10	6.23241898658296
PTA1	YAL043C	19.1401493044178	19.0748406594266	229.902684585062	8	5.36076818871445
YAL043C-A	YAL043C-A	20.3359850207508	20.1486658923403	113.52713825151	10	3.36937884856407
YAL045C	YAL045C	33.5156529907884	31.75920843351	909.17010784778	10	9.5350412051956
YAL046C	YAL046C	13.2073756420995	12.2331454325305	224.708154005916	8	5.29986030483253
GEM1	YAL048C	0	1.06104409097601	47.5291275489132	8	2.43744557756971
YAL049C	YAL049C	33.0780619873976	30.2443759059876	584.65142384825	10	7.64625021725192
OAF1	YAL051W	24.7810327329778	19.2515595903989	893.613806236057	10	9.45311486355718
FLC2	YAL053W	29.9569399085931	26.537826020327	386.996541644971	10	6.2209046098214
ACS1	YAL054C	34.5900071031321	26.8960009310936	994.898949240557	10	9.97446213708066
PEX22	YAL055W	29.3180442918213	23.6109139913819	1161.43903336255	10	10.7770080883451
GPB2	YAL056W	24.0008576681441	22.3218483229977	396.454274260065	10	6.29646150039897
YAL058C-A	YAL058C-A	36.1144966252037	36.6994399304761	463.11907311891	10	6.80528524838533
CNE1	YAL058W	31.4648837232047	27.7208183053067	490.772151277085	10	7.00551319517054
ECM1	YAL059W	44.112823040367	41.9567953083827	2002.47999858784	10	14.1509010263935
BDH1	YAL060W	28.3705793775576	25.7036150287675	329.666273983518	10	5.74165719965515
YAL061W	YAL061W	27.264571481506	24.2817059428835	332.662335429933	10	5.76768875226406
GDH3	YAL062W	42.4586299040198	33.6774954546493	1773.99707295927	10	13.3191481445296
YAL064C-A	YAL064C-A	39.2851450734713	33.801870012667	955.885191474374	10	9.77693812742197
YAL065C	YAL065C	22.145070131315	19.6903837219228	505.993321354412	10	7.11332075302676
YAL066W	YAL066W	25.5020495837989	23.7728179213951	213.554275891972	10	4.62119330792352
SEO1	YAL067C	25.1331810532382	22.6823352041316	163.927469803629	10	4.04879574446067
PAU8	YAL068C	34.0999773564169	31.8417360589564	549.586602396006	10	7.4134108370979
ERP1	YAR002C-A	26.6433210446326	25.8011904022869	706.589782725843	10	8.4058894991895
NUP60	YAR002W	9.66091030830735	9.51961512888231	13.3937239870063	10	1.15731257605741
SWD1	YAR003W	8.01749965197254	7.39131776639969	45.5185611795856	10	2.13350793716793
RFA1	YAR007C	36.3492584678735	32.3695920625906	842.026591261209	8	10.2593042604092
SEN34	YAR008W	11.8114928879906	12.1024053315182	202.104197186875	8	5.02623364442595
BUD14	YAR014C	30.1081300133348	28.2581340486266	714.381809510787	10	8.45211103518397
ADE1	YAR015W	35.0729158937618	34.4386617228491	567.148864765396	10	7.53092865963685
KIN3	YAR018C	28.9704004846872	29.8992579616643	208.567360243559	10	4.56691756268447
CDC15	YAR019C	11.8652200021617	12.3523976046387	501.997595401461	8	7.92147078674047
PAU7	YAR020C	34.1198569260239	29.9300210008226	689.416372149154	10	8.30311009290588
YAR023C	YAR023C	21.9702443957348	21.4663661413957	235.68240420449	10	4.85471321711684
UIP3	YAR027W	29.2073524017736	24.036547045791	852.256774343844	10	9.23177542157435
YAR028W	YAR028W	24.7668951656952	22.3305983552394	339.388412100681	10	5.82570521139442
YAR029W	YAR029W	42.6675376944978	36.0879592493459	987.108861771577	10	9.93533523224846
YAR030C	YAR030C	32.8120866629518	26.3056012089384	1607.46844398309	10	12.6785978877125
PRM9	YAR031W	32.9693142060108	30.6045093702885	770.376357663539	10	8.777108622226
YAT1	YAR035W	20.873253611485	19.1533887813023	1013.23910241866	10	10.0659778582047
YAR037W	YAR037W	31.5011361498604	27.5890073480577	1102.48679642124	10	10.4999371256272
YAR040C	YAR040C	27.9450862180214	24.3993318849643	272.654582757704	10	5.22163367881838
SWH1	YAR042W	15.8862676870823	15.9391088185032	41.5153572080815	10	2.03753177172974
YAR043C	YAR043C	19.4266234312509	21.5991486513522	429.196179449796	10	6.55130658303972
OSH1	YAR044W	12.7836944318645	14.2943730595298	849.774031101227	10	9.21831888741775
YAR047C	YAR047C	19.8975561024628	19.7296235478705	282.367252022974	10	5.31382397170789
FLO1	YAR050W	30.2653244626109	29.1996794030636	739.396209409005	10	8.59881508935391
ECM15	YBL001C	46.2241523660885	39.9508458798468	1246.87056752612	10	11.1663358695954
HTA2	YBL003C	27.9630702098978	25.904398639873	503.519852882569	10	7.09591328077344
UTP20	YBL004W	20.1486425659792	19.3770728900403	675.268874739689	8	9.18741581417001
PDR3	YBL005W	38.412131286644	32.7378259337818	854.464609730727	10	9.24372549208774
SLA1	YBL007C	30.5002642386708	28.5521428659285	222.132155971559	10	4.71308981424669
HIR1	YBL008W	36.0239152251698	31.1591958876123	864.034409853925	10	9.29534512459825
ALK2	YBL009W	15.4789720591299	17.8084643966008	290.407411178184	10	5.38894619733936
YBL010C	YBL010C	34.7165171974114	29.3634343121924	693.545671024856	10	8.32793894685148
SCT1	YBL011W	46.5728805335632	40.2781291893767	1103.90185994746	10	10.5066734028781
FMT1	YBL013W	22.9434555345261	20.5241214240855	474.692381303971	10	6.88979231402493
RRN6	YBL014C	19.2901346738043	21.151130608513	409.686452366134	8	7.15617261849983
ACH1	YBL015W	28.9919327927461	26.2582233158886	442.051285142104	10	6.6486937449555
FUS3	YBL016W	29.4482548209628	26.8235442306999	374.149844829889	10	6.11677893036759
PEP1	YBL017C	32.1295477734653	25.0811378088581	1836.49245182827	10	13.5517248047186
POP8	YBL018C	30.5710979337616	30.0389923967402	297.178773781806	8	6.09486232188437
APN2	YBL019W	27.7152781851464	26.0574756451289	359.000193873794	10	5.99166248944142
RFT1	YBL020W	13.6900877967218	13.4905196803056	306.984955849759	8	6.19460406169917
