R package version: 0.0-39
Treatment: 33
Medium: SDM_rhlk_CTGNH
Screen ID: QFA0018
Screen name: lyp1_HLN
Libraries: SDLV4_384
Client: MGD
User: APB
PI: DAL
Date: 2013/07/23
Fitness definition: MDRMDP
Condition: SDM_rhlk_CTGNH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	60.7427619657981	59.6711964342804	8.64973371484699	6	1.20067576214723
EFB1	YAL003W	73.1747901216875	62.8946701654694	297.14963539174	6	7.03739577059274
YAL004W	YAL004W	82.0933401072465	79.3375818770248	128.722971493214	6	4.63182777985131
SSA1	YAL005C	67.9138136646351	68.3750267836012	71.0824523657559	6	3.44195807561519
ERP2	YAL007C	78.3323380812118	74.5993093490812	66.5321155896057	6	3.32996785744261
FUN14	YAL008W	59.5578437012281	61.8477326227162	93.6752091081234	6	3.95127003017434
MDM10	YAL010C	41.9504830274362	50.383852818001	399.508317205992	6	8.15994604971945
SWC3	YAL011W	78.9952167472579	75.4678308266232	124.398454670277	6	4.55335873596398
DEP1	YAL013W	65.7893863888451	69.305599508736	61.0826637548894	6	3.19068079869301
SYN8	YAL014C	94.5266792623629	87.0438085662014	252.802472904009	6	6.49105118482373
NTG1	YAL015C	83.6179545426829	79.1577617963498	113.951697008722	6	4.35797539018449
PSK1	YAL017W	77.903272753551	75.2959804050535	133.286156015114	6	4.71321114908427
LDS1	YAL018C	66.2601218101897	66.4341782027333	54.9475667710221	6	3.02620683284708
FUN30	YAL019W	66.0771940536506	66.4903965524735	119.305352417909	6	4.45917317481446
ATS1	YAL020C	90.1699043027689	82.7853768282859	325.658118007407	6	7.3672486724173
FUN26	YAL022C	76.7684446326244	74.8234186616129	113.51374101075	6	4.34959272060328
PMT2	YAL023C	85.8105075688393	80.1509868500323	153.253506294723	6	5.05393421495774
LTE1	YAL024C	65.9970356529981	59.4870059734816	218.750562372933	5	6.61438677993558
MAK16	YAL025C	77.841190425879	68.653825641524	443.093065598773	6	8.59353502735993
DRS2	YAL026C	70.5580416383299	63.488553501263	143.849491516203	6	4.89641861493689
SAW1	YAL027W	67.6881843099985	67.4819927745189	55.6607975766923	6	3.04578390502599
FRT2	YAL028W	83.1546816210582	78.7553119504095	80.6587894691424	6	3.66648763507944
MYO4	YAL029C	84.0250282056072	77.0254554937308	181.967609163512	6	5.50708042982717
SNC1	YAL030W	76.059572372354	71.6738143979508	101.064603139002	6	4.1041564935035
GIP4	YAL031C	74.3535580172873	76.16163029029	165.485883106037	6	5.25175975437498
PRP45	YAL032C	76.1536855672495	65.6656163656811	465.515368276616	6	8.80828557170857
POP5	YAL033W	67.4744140529175	67.9170744122293	139.75567593022	6	4.82624208417239
FUN19	YAL034C	89.3883224752	86.9146569739133	227.286050522809	6	6.15475494398178
