R package version: 0.0-39
Treatment: 30
Medium: CSM Lydall
Screen ID: QFA0044
Screen name: G4Quad_Drugs
Libraries: SDLV4_384
Client: EJA
User: EJA
PI: DAL
Date: 2011/10/17
Fitness definition: MDRMDP
Condition: CSM Lydall
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	173.49365775654	169.338688715642	1663.32353974057	4	20.3919318588294
YAL004W	YAL004W	209.695186909605	213.359448927233	792.406315826868	4	14.0748562677108
SSA1	YAL005C	188.883304057111	203.642000740591	2226.43819179024	4	23.5925740000441
ERP2	YAL007C	231.70165603641	231.76050407718	680.352709878469	4	13.0417858236369
FUN14	YAL008W	239.645104706213	241.782818144144	891.235704019758	4	14.9267855215026
MDM10	YAL010C	52.6608351512435	53.1353225916178	3765.08371143657	4	30.6801389804405
SWC3	YAL011W	202.69370226698	228.062978593546	5856.54289477028	4	38.2640264960781
DEP1	YAL013W	213.85617850523	203.69569815415	769.162709922076	4	13.8668914137423
SYN8	YAL014C	237.929368893802	237.49371995562	373.790472683113	4	9.66683082353148
NTG1	YAL015C	225.759467795123	236.270027052612	767.239760482821	4	13.8495465673323
PSK1	YAL017W	226.027681580065	258.043965548682	4228.72245683162	4	32.5143139895017
LDS1	YAL018C	223.885711492166	238.611213818602	3021.30664778708	4	27.4832069079787
FUN30	YAL019W	222.271785164241	248.084825517141	5356.63411031042	4	36.5945149930643
ATS1	YAL020C	201.972636783914	223.722303429332	5146.71113703381	4	35.8702911091958
FUN26	YAL022C	216.186164341403	222.388035178386	248.367000621909	4	7.87983186086336
PMT2	YAL023C	219.06849503558	226.11731465147	1613.85912008232	4	20.0864327350722
LTE1	YAL024C	185.068432772903	197.747840847045	2793.87428267777	4	26.4285559701896
DRS2	YAL026C	177.092358572297	183.199860335894	1688.25554134652	4	20.5441934700934
SAW1	YAL027W	243.748742596859	255.904386149817	678.204457838544	4	13.0211794573163
FRT2	YAL028W	216.460219881372	228.29136705405	669.358004775912	4	12.9359770096417
MYO4	YAL029C	282.474983909465	282.715152658395	5758.2770230561	4	37.9416559438834
SNC1	YAL030W	234.097580182076	251.792856622868	4820.980027633	4	34.7166387616695
GIP4	YAL031C	230.368632267462	231.05190888742	625.69851711581	4	12.5069832205433
FUN19	YAL034C	246.42589239164	263.189623777491	2901.7346364713	4	26.9338756794826
RBG1	YAL036C	227.85528535684	238.07007694955	1297.46494710253	4	18.0101703705332
YAL037W	YAL037W	243.120965974932	244.629895349934	566.720784470279	4	11.9029490512885
CLN3	YAL040C	233.910423274816	233.36594916375	583.251905379926	4	12.0753043996821
ERV46	YAL042W	253.985266444497	252.817796849145	1087.49712831707	4	16.4886106776547
YAL043C-A	YAL043C-A	212.063342358795	212.52388123302	1169.60374436995	4	17.0997349714108
YAL045C	YAL045C	229.629096764281	229.060241184607	356.42597367844	4	9.43962358463567
AIM1	YAL046C	191.601576061344	199.314432938573	819.968797886388	4	14.317548654417
GEM1	YAL048C	43.0872943012755	67.5838893260763	7690.33124274335	4	43.8472668553678
AIM2	YAL049C	231.316720733242	222.725009390603	808.096882832241	4	14.2135224595475
OAF1	YAL051W	285.88523858099	280.72774415946	2460.9899339075	4	24.8041827818792
FLC2	YAL053W	231.428449347558	228.972846729398	2175.25815345149	4	23.3198314394181
ACS1	YAL054C	290.189318105638	289.321600832196	2958.50607617218	4	27.1960754345741
PEX22	YAL055W	268.175877524932	264.992884227511	1448.83291708864	4	19.0317689475298
GPB2	YAL056W	215.281796289326	224.016916021446	651.099331492127	4	12.7583240620793
YAL058C-A	YAL058C-A	208.193156503109	233.940400392412	4415.88866896844	4	33.2260766152447
CNE1	YAL058W	195.594802350795	197.507983775321	347.226034464309	4	9.31700105270346
ECM1	YAL059W	190.608718270495	198.935250323253	719.274903875833	4	13.4096504790005
BDH1	YAL060W	237.598617331601	253.813932777959	4187.15350241306	4	32.3541090992051
BDH2	YAL061W	248.26264996192	264.952178129124	3398.63871272605	4	29.1489224188736
GDH3	YAL062W	201.701043301264	217.281806325988	1127.66577594656	4	16.7903675953399
TDA8	YAL064C-A	219.583381761112	224.342205582045	614.157159788523	4	12.3910972051361
YAL065C	YAL065C	269.385306932913	225.077929765877	25310.2461682211	4	79.5459712496823
YAL066W	YAL066W	228.759940559743	229.557440751851	671.601995644256	4	12.9576424904789
SEO1	YAL067C	228.855555538402	227.55166755094	857.695923843312	4	14.6432230386902
PAU8	YAL068C	221.934299792988	224.310475150161	145.460512802584	4	6.03035058687685
ERP1	YAR002C-A	225.826163433008	227.895120964204	598.628321421032	4	12.2334410676333
NUP60	YAR002W	226.127542056462	220.22455144132	2375.44853370067	4	24.3692866827318
SWD1	YAR003W	164.484503110593	141.314370826982	6283.8170320718	4	39.635265333008
BUD14	YAR014C	182.782675157666	189.552913639172	1271.85114582546	4	17.8315110536479
ADE1	YAR015W	215.492954926323	217.762263992836	831.137685952928	4	14.4147293241404
KIN3	YAR018C	237.578887331695	243.863312155373	2318.88474969333	4	24.0773999307096
PAU7	YAR020C	234.3346022415	235.298442048433	67.3775472127269	4	4.10419137019483
YAR023C	YAR023C	257.872993050945	250.688611128846	1348.52247723197	4	18.3611170495695
UIP3	YAR027W	227.918642740977	219.503588080518	1040.8757766952	4	16.1313032385421
YAR028W	YAR028W	223.740857193935	215.82227335825	1614.45238477235	4	20.0901243448886
YAR029W	YAR029W	250.09990097704	254.964366714676	2731.2831398477	4	26.1308397293681
YAR030C	YAR030C	227.077216061167	233.549048157063	481.380933905405	4	10.9701975130966
PRM9	YAR031W	229.895842854949	243.194953937905	2494.29214969345	4	24.9714444400672
YAT1	YAR035W	243.170303340401	240.600324125847	677.3825070299	4	13.0132865471208
YAR037W	YAR037W	246.630944623845	243.755999661788	1315.28696709859	4	18.1334426343882
YAR040C	YAR040C	198.321698440448	211.665196797007	1948.59516033385	4	22.0714473943931
SWH1	YAR042W	223.623244305543	232.469859388278	546.737404215039	4	11.6912082803173
YAR043C	YAR043C	238.941699818224	257.499647791755	4899.40302101196	4	34.9978678672429
OSH1	YAR044W	240.089334325213	231.759140131525	672.79225534977	4	12.9691196246099
YAR047C	YAR047C	198.661571908792	203.665790619664	657.95877558303	4	12.825353558314
FLO1	YAR050W	254.768630505748	262.278521671194	555.561639682639	4	11.7851775515119
ECM15	YBL001C	251.459303978864	245.617817026753	1553.49123031452	4	19.7071765501462
HTA2	YBL003C	221.641331122845	229.201997259099	416.972932207771	4	10.2099575440813
PDR3	YBL005W	224.868482902941	228.715961070989	548.828542147487	4	11.7135449602958
SLA1	YBL007C	171.381988988863	184.609862813818	1011.68898232627	4	15.903529343563
HIR1	YBL008W	210.686925620335	218.350542764096	1617.9924983951	4	20.1121387375578
ALK2	YBL009W	243.246151485654	249.121841434768	1091.90185725156	4	16.5219691415064
