R package version: 0.0-39
Treatment: 30
Medium: 100mM_HU_CSM 
Screen ID: QFA0044
Screen name: G4Quad_Drugs
Libraries: SDLV4_384
Client: EJA
User: EJA
PI: DAL
Date: 2011/10/17
Fitness definition: MDRMDP
Condition: 100mM_HU_CSM 
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	29.0958210191005	25.4395388714876	1242.11759361413	4	17.6218443530617
YAL004W	YAL004W	51.8086732739638	46.0387399349866	856.993355951784	4	14.6372244291036
SSA1	YAL005C	38.7311647079324	35.4197011793107	1389.12757761233	4	18.6355009163446
ERP2	YAL007C	48.7489705995644	45.3952850201245	201.218740151169	4	7.09257957571095
FUN14	YAL008W	51.0152962488105	45.0331691004736	374.704483556787	4	9.67864251272856
MDM10	YAL010C	28.7528398080422	21.9830133061782	1971.74794555587	4	22.2021842706741
SWC3	YAL011W	45.0104583336988	39.3671236568488	471.344327349798	4	10.8552329241454
DEP1	YAL013W	44.76697247497	39.7317613598636	256.988038275358	4	8.01542323079945
SYN8	YAL014C	62.4039532617485	53.7296741159693	653.645606882185	4	12.7832469162004
NTG1	YAL015C	50.0073135873987	45.9692148569488	412.934334319627	4	10.1603928851156
PSK1	YAL017W	53.7572026547758	46.0234811105327	217.447194893684	4	7.37304541715437
LDS1	YAL018C	49.3650972578109	44.836971942537	198.661659249028	4	7.04736935403963
FUN30	YAL019W	47.4030838487824	44.3669091052957	655.0378798073	4	12.7968539083567
ATS1	YAL020C	59.3515663603658	52.2401644088912	511.615721183828	4	11.3094619808352
FUN26	YAL022C	57.5460483642526	49.7392290500643	650.873596839315	4	12.7561122294306
PMT2	YAL023C	52.0789125975127	46.5019561629562	266.338234587167	4	8.15993619134315
LTE1	YAL024C	42.1429203014977	38.0263962251679	475.588584460218	4	10.9039967954441
DRS2	YAL026C	39.0833916249035	37.3722359817364	560.140337052543	4	11.8336420540396
SAW1	YAL027W	48.517926347449	46.8903631881563	1131.06146436188	4	16.8156286260868
FRT2	YAL028W	48.0095801101858	42.0224119314124	235.675140636687	4	7.67585729148033
MYO4	YAL029C	48.7920621502864	46.0630781662487	488.583579351168	4	11.0519633928905
SNC1	YAL030W	58.2530546151664	54.3284197423529	1472.24698230606	4	19.1849353810878
