R package version: 0.0-4
Treatment: 30
Medium: 100mM_HU_CSM 
Screen ID: QFA0044
Screen name: G4Quad_Drugs
Libraries: SDLV4_384
Client: EJA
User: EJA
PI: DAL
Date: 2011/10/17
Fitness definition: MDRMDP
Condition: 100mM_HU_CSM 
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	69.3820378266791	60.4202264011983	2554.21361379386	4	25.2696142322843
YAL004W	YAL004W	132.774732667296	131.092237204707	784.403966443296	4	14.0036063787449
SSA1	YAL005C	100.389483212689	99.7384491568237	1195.71058481395	4	17.2895241751613
ERP2	YAL007C	121.31117532885	125.116858021339	322.866670460549	4	8.98424552286597
FUN14	YAL008W	129.424800341173	127.051609817521	288.576277598288	4	8.49376650253419
MDM10	YAL010C	33.8443235136285	42.9877473737327	2686.8677653852	4	25.9175026062756
SWC3	YAL011W	111.721640765587	111.215720803658	384.17140596034	4	9.80014548310814
DEP1	YAL013W	114.745667848438	114.310499710984	224.032829022253	4	7.48386312378596
SYN8	YAL014C	155.793496771764	151.374148844189	673.707624849501	4	12.9779392128479
NTG1	YAL015C	125.090034411787	129.850742731975	358.464705823779	4	9.46658208943147
PSK1	YAL017W	134.726812136894	130.414219615599	186.645394565281	4	6.83091125995062
YAL018C	YAL018C	126.734515341553	126.294505379906	110.915900393662	4	5.26583090294548
FUN30	YAL019W	116.716525308566	121.741201768767	402.144737600792	4	10.0267733793179
ATS1	YAL020C	148.301638709909	146.668191783824	539.561914564588	4	11.6142360334697
FUN26	YAL022C	144.144224993815	138.081816724025	497.290656053013	4	11.150007354852
PMT2	YAL023C	129.803606639355	129.609853364356	217.194934008709	4	7.36876743439344
LTE1	YAL024C	108.327378111886	108.719050144731	448.590155378956	4	10.5899735053842
DRS2	YAL026C	98.314823043007	104.036018413458	396.552982490623	4	9.95681905141676
YAL027W	YAL027W	123.404293470847	129.680602672031	901.561765523252	4	15.0130090714957
FRT2	YAL028W	120.89043367571	119.086992450325	194.375633397477	4	6.97093310464024
MYO4	YAL029C	122.102284771165	129.815444354366	528.353380108676	4	11.4929693738028
SNC1	YAL030W	146.900051508527	152.520641005783	1727.8854154605	4	20.7839205604988
GIP4	YAL031C	120.877888031023	124.217335288959	155.853130674059	4	6.2420575669017
FUN19	YAL034C	130.185315855944	131.029069513826	335.904704617323	4	9.16385160040967
RBG1	YAL036C	140.262180352875	137.187303128418	472.468159548066	4	10.8681663534847
YAL037W	YAL037W	143.038296220225	141.337849015797	580.444126110785	4	12.0462040298053
CLN3	YAL040C	149.067156641066	149.571702184377	961.870508297565	4	15.5070186391321
ERV46	YAL042W	134.537039700756	135.007410107313	205.859211298042	4	7.17389732464233
YAL043C-A	YAL043C-A	137.504297419395	143.316860731753	604.935322120097	4	12.2977164762416
YAL045C	YAL045C	137.752685671443	136.564438263152	253.694824337418	4	7.96390018046148
YAL046C	YAL046C	104.595843804241	104.126577063971	4.7176116095118	4	1.08600317788575
GEM1	YAL048C	12.3935279357726	33.3595173149145	2656.00375570222	4	25.7682156721329
YAL049C	YAL049C	130.461674898782	132.084578686759	138.731254011468	4	5.88921161980677
OAF1	YAL051W	155.921015812176	161.717001543095	810.627664093411	4	14.2357618701407
FLC2	YAL053W	130.658055002387	131.504995570642	166.928146031522	4	6.46003378535132
ACS1	YAL054C	163.45277288102	171.196320560463	1244.05053066024	4	17.6355502512698
PEX22	YAL055W	138.449912898911	139.533315037274	61.5897372071474	4	3.92395646023078
GPB2	YAL056W	136.130012645704	131.441545789415	601.912729581424	4	12.2669548949752
YAL058C-A	YAL058C-A	114.047703517274	116.063999417259	310.881257340929	4	8.81591256395117
CNE1	YAL058W	125.123796130458	126.289758074737	264.971171561301	4	8.13896755678048
ECM1	YAL059W	110.569134774674	120.863595031739	1245.20177966707	4	17.6437083663488
BDH1	YAL060W	117.582074610019	121.78630893963	261.84418127316	4	8.09080004191737
YAL061W	YAL061W	153.252467369063	154.775026811325	1916.79187825832	4	21.8905908911701
GDH3	YAL062W	118.81378088251	119.715414747472	134.415914296782	4	5.79689387294571
YAL064C-A	YAL064C-A	142.026921786572	142.882085292653	376.228843252844	4	9.69830968845659
YAL065C	YAL065C	117.730394953378	92.3437454840395	3848.30035961084	4	31.0173353127362
YAL066W	YAL066W	129.22460433342	126.941782226334	304.253509421162	4	8.72143207021018
SEO1	YAL067C	126.40413041921	127.793872187026	420.815094854724	4	10.2568890855698
PAU8	YAL068C	129.889052865557	137.018552870914	699.665164444798	4	13.2255922782762
ERP1	YAR002C-A	159.389289076362	161.546452999964	1343.31923070911	4	18.3256598156049
NUP60	YAR002W	11.7166513768745	43.7800034753104	5297.074399833	4	36.3905015073748
SWD1	YAR003W	12.3140945085485	17.6425522236508	490.726096276686	4	11.0761691964854
BUD14	YAR014C	110.523650044207	117.488696140956	544.848769322322	4	11.670997914942
ADE1	YAR015W	129.405659267301	132.273350219151	203.17797861382	4	7.12702565264465
