R package version: 0.0-39
Treatment: 28
Medium: SDM_rhlk_CTGNH
Screen ID: QFA0015
Screen name: cdc13-1_DIL
Libraries: SDLV4_384
Client: DJW
User: APB
PI: 
Date: 2013/06/10
Fitness definition: MDRMDP
Condition: SDM_rhlk_CTGNH
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	61.6097330231312	62.2842535970711	106.560945275081	10	3.26436740081568
EFB1	YAL003W	59.7476693137325	62.9040495889781	1280.33022110931	8	12.6507421773849
YAL004W	YAL004W	73.266795622054	66.2023883749029	469.429124288238	10	6.85148979630151
SSA1	YAL005C	66.6843069295437	59.5945379838951	306.777838292924	10	5.53875291282184
ERP2	YAL007C	71.0055918484529	67.8341930523629	590.291454128166	10	7.68304271840373
FUN14	YAL008W	61.0672074974622	55.6619457337414	221.143685458385	10	4.70259168393754
MDM10	YAL010C	57.4738062909292	59.3342903335562	165.603561403152	10	4.06944174799385
SWC3	YAL011W	25.4522201592627	38.0504683599272	536.716681742208	10	7.32609501536943
DEP1	YAL013W	24.9840596823156	25.5804887989136	267.456270623853	10	5.17161745128015
SYN8	YAL014C	81.1892474964785	71.2541581099329	708.34806620048	10	8.41634164111985
NTG1	YAL015C	71.7578971217631	68.69737990134	440.407498210982	10	6.63632050319288
PSK1	YAL017W	69.8388639804035	62.8344705568445	436.685106837475	10	6.6082153932622
LDS1	YAL018C	59.3807225153193	59.6223401338772	354.585333764151	10	5.95470682539579
FUN30	YAL019W	61.4139530608086	57.9797859625549	105.870148290485	10	3.25376932634268
ATS1	YAL020C	73.3775717091829	57.8874546423402	1587.20050815789	10	12.5984146151724
FUN26	YAL022C	72.0300339548103	68.8286428778394	307.535511879344	10	5.54558844379335
PMT2	YAL023C	84.2485735578049	72.1364707309794	753.226596222424	10	8.67886280697203
LTE1	YAL024C	0	0	0	8	0
MAK16	YAL025C	57.0547698134495	52.7099847388637	526.219789754753	8	8.110331295289
DRS2	YAL026C	54.9545633862584	51.3149616373163	197.837511340071	10	4.44789288697549
SAW1	YAL027W	65.9015434004279	69.2734760734854	362.229095875618	10	6.01854713261945
