R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 36
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 36
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0011
y-axis screen name: pol2-12
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/07/08
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YJL123C	MTC1	0.000148412	0.00611414	-45.2065	0.170961	70.3828	0.112864	6.8169	8	6	t-test	E
YGL244W	RTF1	1.01781e-05	0.000923901	-39.1954	1.67078	63.3856	0.556571	3.87603	8	6	t-test	E
YHL027W	RIM101	1.38728e-05	0.00111237	-37.5184	1.89889	61.1383	1.17581	4.69064	8	6	t-test	E
YMR055C	BUB2	9.53374e-09	3.82224e-06	-37.1994	1.77334	60.4487	1.16133	2.56569	8	6	t-test	E
YLR339C	YLR339C	0.000599436	0.0155886	-36.9793	1.33767	59.4316	0.481429	7.57712	8	6	t-test	E
YBR215W	HPC2	4.17276e-05	0.00245626	-36.5183	2.75723	60.9183	2.45234	5.77218	4	6	t-test	E
YKR029C	SET3	1.16217e-05	0.000963998	-36.3559	3.74082	62.192	3.3987	5.56682	8	6	t-test	E
YMR154C	RIM13	1.42209e-07	3.14243e-05	-35.7781	3.37796	60.7331	2.36556	3.46338	8	6	t-test	E
YNL288W	CAF40	6.30673e-05	0.00334568	-35.145	0.354044	55.0608	0.354044	4.57378	8	6	t-test	E
YOR070C	GYP1	0.000339699	0.010237	-34.765	0	53.9223	0	6.22812	8	6	t-test	E
YGR122W	YGR122W	0.000936056	0.0215472	-34.6231	4.37282	60.4846	1.86953	8.57652	8	6	t-test	E
YLR192C	HCR1	0.000351124	0.0102943	-34.4332	2.99553	58.0538	1.20614	6.85638	8	6	t-test	E
YCR033W	SNT1	2.97991e-05	0.00186186	-34.3532	0.00973684	53.2987	0.00973684	3.71765	8	6	t-test	E
YOR371C	GPB1	0.000342581	0.010237	-34.2724	8.34668	66.1045	3.35255	7.97613	8	6	t-test	E
YOR089C	VPS21	0.000996262	0.0226093	-34.2019	0	53.0489	0	7.71684	8	6	t-test	E
YMR078C	CTF18	1.09202e-05	0.000957057	-33.6544	1.3739	54.3307	0.625902	3.55667	8	6	t-test	E
YJR053W	BFA1	1.66824e-06	0.000244822	-32.9604	1.70442	53.767	1.16592	3.48037	8	6	t-test	E
YMR063W	RIM9	0.0001606	0.00623102	-32.9037	0.609418	51.9805	0.399129	5.17033	8	6	t-test	E
YNL147W	LSM7	5.59777e-05	0.00306033	-32.8171	0.223892	51.2482	0.223892	4.10547	8	6	t-test	E
YKR028W	SAP190	0.00076918	0.0184476	-32.7436	1.43748	53.0167	0.616096	7.14534	8	6	t-test	E
YCL016C	DCC1	9.46095e-05	0.00434244	-32.6834	2.10009	53.951	0.946917	5.14881	8	6	t-test	E
YPR133C	SPN1	0.000179947	0.00671104	-32.5448	0.106114	50.6432	0.106114	5.1119	8	6	t-test	E
YDL100C	GET3	8.86146e-05	0.00422104	-32.1627	1.03758	51.4953	1.03758	5.12366	8	6	t-test	E
YFL023W	BUD27	3.64548e-11	3.50768e-08	-32.082	1.91535	52.7316	1.09191	1.4332	8	6	t-test	E
YCR044C	PER1	3.09922e-06	0.000369535	-31.9985	3.65065	55.2936	2.5117	4.30689	8	6	t-test	E
YCR032W	BPH1	5.67472e-06	0.000568772	-31.94	2.70328	53.7336	1.24747	3.89944	8	6	t-test	E
YER092W	IES5	7.02756e-06	0.000662933	-31.8214	0.0842897	49.4874	0.0842897	2.58766	8	6	t-test	E
YBR255W	MTC4	1.41957e-07	3.14243e-05	-31.6907	3.30306	54.2771	2.19962	2.95393	8	6	t-test	E
YBR175W	SWD3	5.22466e-05	0.00288918	-31.5935	0	49.0032	0	3.83524	4	6	t-test	E
YHR031C	RRM3	2.54646e-08	7.65689e-06	-31.2851	0.900456	49.9214	0.900456	2.22145	8	6	t-test	E
YOL012C	HTZ1	0.000115226	0.00508582	-31.0434	0.424083	48.8077	0.401526	4.59451	8	6	t-test	E
YOR030W	DFG16	0.00182294	0.0338525	-31.0247	5.04399	55.9443	0.889083	8.21859	8	6	t-test	E
YGL043W	DST1	7.58344e-09	3.31672e-06	-30.8657	0.73602	49.0159	0.5024	1.54346	8	6	t-test	E
YGL127C	SOH1	2.63909e-05	0.00177262	-30.7386	0.0630733	47.775	0.0630733	3.25239	8	6	t-test	E
YOR038C	HIR2	0.00243358	0.0410805	-30.3888	8.00427	59.5496	3.11371	9.42843	8	6	t-test	E
YJR097W	JJJ3	6.19965e-06	0.000608704	-30.2564	2.8725	51.3846	1.22603	3.76991	8	6	t-test	E
YPL152W	RRD2	0.000451357	0.0126249	-30.1168	3.08142	51.4922	0.246186	5.76838	8	6	t-test	E
YNL294C	RIM21	5.89026e-07	0.000104956	-29.7361	2.83066	50.5128	2.34716	1.66974	8	6	t-test	E
YPR120C	CLB5	2.65285e-05	0.00177262	-29.5035	0	45.7615	0	3.11784	8	6	t-test	E
YDR090C	YDR090C	0.0013031	0.0270224	-29.2516	5.98745	54.6576	3.31364	8.26805	8	6	t-test	E
YBR194W	AIM4	0.000177069	0.00665529	-29.2048	4.19123	51.799	2.54418	5.6228	4	6	t-test	E
