R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0012
y-axis screen name: cdc2-2
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/06/24
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YLR339C	YLR339C	0.000291991	0.0391971	-58.3777	5.27137	105.258	1.0672	14.7126	8	8	t-test	E
YPR133C	SPN1	0.000504587	0.0537666	-50.641	3.61403	89.7232	0.375196	13.8129	8	8	t-test	E
YNL288W	CAF40	0.000312202	0.0404596	-48.0191	0	79.4107	0	12.0823	8	8	t-test	E
YER173W	RAD24	8.00939e-28	1.28017e-24	-47.3226	1.30815	80.4222	0.630394	3.9587	56	56	t-test	E
YOR368W	RAD17	2.60343e-28	6.24172e-25	-43.5273	0.692615	73.1278	0.375184	3.46885	56	56	t-test	E
YDR397C	NCB2	0.000372899	0.0458475	-43.007	5.6623	80.486	1.58048	11.5616	8	8	t-test	E
YDR217C	RAD9	3.03261e-29	1.45414e-25	-42.9233	1.59881	73.6276	0.734536	3.48531	56	56	t-test	E
YNL032W	SIW14	0.000587681	0.0587146	-42.4891	2.09473	73.7297	1.32032	12.133	8	8	t-test	E
YJL123C	MTC1	0.00265579	0.202922	-42.2544	1.24286	71.9328	0.352306	15.3884	8	8	t-test	E
YPL194W	DDC1	0.000161896	0.0287516	-41.9822	0	69.4273	0	9.50253	8	8	t-test	E
YBR087W	RFC5	0.000195084	0.0294649	-41.8804	5.83821	78.9138	3.83793	11.0509	8	8	t-test	E
YDR369C	XRS2	5.82911e-05	0.0155281	-41.75	0.5461	69.9464	0.236169	8.07426	8	8	t-test	E
YPL213W	LEA1	6.7367e-05	0.0170013	-41.4305	0	68.515	0	8.16984	8	8	t-test	E
YGL167C	PMR1	3.8603e-06	0.00205668	-40.7258	1.30027	69.4999	0.837573	5.74797	8	8	t-test	E
YKL184W	SPE1	0.000142073	0.0262016	-40.7035	3.06576	72.3827	1.9975	9.84057	8	8	t-test	E
YER095W	RAD51	2.65057e-06	0.00161338	-40.6361	1.73903	70.0771	0.988082	5.65181	8	8	t-test	E
YBR011C	IPP1	8.03864e-05	0.0173711	-40.5648	0	67.0833	0	8.22228	8	8	t-test	E
YOL012C	HTZ1	9.4646e-05	0.0189095	-39.5375	0.257884	65.811	0.205128	8.23771	8	8	t-test	E
YBR094W	PBY1	0.000529521	0.0551968	-38.8923	10.1084	81.0341	3.89581	11.6256	8	8	t-test	E
YDL212W	SHR3	0.000171544	0.029377	-37.5826	0	62.1515	0	8.58557	8	8	t-test	E
YGL244W	RTF1	0.0027043	0.202922	-36.8232	14.5881	85.0204	8.08607	9.43733	8	8	t-test	E
YDR076W	RAD55	7.52128e-05	0.0171736	-36.4904	9.0798	75.3609	2.47644	8.49226	8	8	t-test	E
YNL106C	INP52	8.33231e-05	0.0173711	-36.3843	0.371743	60.7846	0.215588	7.43676	8	8	t-test	E
YML092C	PRE8	0.000294285	0.0391971	-36.3773	7.1484	71.9798	4.68145	9.69129	8	8	t-test	E
YPL055C	LGE1	5.36856e-05	0.0155281	-36.1169	2.20522	63.3745	1.48766	7.61084	8	8	t-test	E
YGL163C	RAD54	3.56071e-05	0.0121954	-35.8831	0	59.3411	0	6.41319	8	8	t-test	E
YJR043C	POL32	5.10182e-05	0.0155281	-35.731	0	59.0894	0	6.74905	8	8	t-test	E
YPL063W	TIM50	0.00220443	0.176171	-35.6145	15.391	84.3494	3.54752	13.0366	8	8	t-test	E
YML032C	RAD52	1.00978e-25	1.21047e-22	-35.4295	2.8951	63.3786	0.863085	3.37519	56	56	t-test	E
YNL298W	CLA4	0.000435869	0.0510497	-35.2729	9.94152	74.7725	5.68234	8.59077	8	8	t-test	E
YLR192C	HCR1	0.00270844	0.202922	-35.1285	3.05306	63.142	2.63441	13.213	8	8	t-test	E
