R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 28
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0015
y-axis screen name: cdc13-1_DIL
y-axis libraries: SDLV4_384
y-axis client: DJW
y-axis user: APB
y-axis date: 2013/06/10
y-axis PI: 
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: 
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YLR339C	YLR339C	0.00053309	0.0170873	-56.7794	15.1176	105.258	3.50186	14.7126	8	8	t-test	E
YDR289C	RTT103	0.00014648	0.00828557	-56.4045	0	82.5771	0	11.1239	10	8	t-test	E
YJL092W	SRS2	7.8336e-05	0.00634478	-55.0325	0	80.5684	0	9.8354	8	8	t-test	E
YPR050C	YPR050C	7.32665e-05	0.00629045	-54.2643	2.31772	82.837	2.31772	10.5503	8	8	t-test	E
YMR284W	YKU70	0.000107376	0.00732067	-49.3496	6.55334	81.8428	3.27573	10.5534	8	8	t-test	E
YMR186W	HSC82	0.000125085	0.00771036	-49.3146	6.65591	81.9417	3.33509	10.75	8	8	t-test	E
YMR237W	BCH1	0.000108105	0.00732067	-49.0105	7.69677	83.0204	5.06814	10.5996	8	8	t-test	E
YAL024C	LTE1	8.04974e-05	0.00634478	-48.1885	0	70.5487	0	8.6489	8	8	t-test	E
YNL288W	CAF40	0.000421808	0.0150226	-47.9362	6.30545	79.4107	3.10881	12.0823	8	8	t-test	E
YDR290W	YDR290W	5.47481e-05	0.00529698	-47.3612	0	69.3375	0	8.00636	8	8	t-test	E
YPR135W	CTF4	9.98394e-05	0.00705923	-46.8655	0	68.6119	0	8.69984	8	8	t-test	E
YHL037C	YHL037C	3.53657e-05	0.00424391	-46.4556	7.36743	78.7978	3.71093	8.94609	8	8	t-test	E
YKR026C	GCN3	0.00029576	0.0119925	-46.2518	9.71845	81.9414	7.00439	9.77766	8	8	t-test	E
YIL052C	RPL34B	5.67954e-05	0.00529698	-45.8302	8.73146	79.8791	4.69182	9.17138	8	8	t-test	E
YBR011C	IPP1	8.03864e-05	0.00634478	-45.8214	0	67.0833	0	8.22228	8	8	t-test	E
YPL106C	SSE1	0.000165508	0.00894904	-45.7442	0	66.9702	0	9.19851	8	8	t-test	E
YOL094C	RFC4	0.00310206	0.0524919	-45.4963	24.2528	102.114	6.80403	15.1136	8	8	t-test	E
YPL139C	UME1	0.000139852	0.00828214	-45.3909	11.1861	82.8297	4.31575	10.1881	8	8	t-test	E
YPR095C	SYT1	0.00132598	0.0309251	-45.1507	27.5854	106.487	4.00292	13.5385	8	8	t-test	E
YJR140C	HIR3	0.000312744	0.0125306	-44.2669	17.8978	91.0103	4.41752	10.9468	8	8	t-test	E
YNL097C	PHO23	0.000201354	0.00968112	-44.2154	11.1421	81.0443	4.26374	10.3635	8	8	t-test	E
YJL123C	MTC1	0.00364849	0.0578941	-43.948	5.18585	71.9328	3.39793	15.3884	8	8	t-test	E
YKL184W	SPE1	0.00017082	0.00908559	-43.9367	5.50447	72.3827	2.69789	9.84057	8	8	t-test	E
YLR024C	UBR2	0.00198018	0.0396695	-43.4275	24.4462	99.3683	8.0273	11.9542	8	8	t-test	E
YKL091C	YKL091C	0.000120342	0.00769677	-43.289	9.06304	76.6442	5.94356	8.3173	8	8	t-test	E
YDR260C	SWM1	0.000123707	0.00771036	-43.0406	8.31968	75.1922	3.42237	9.55844	10	8	t-test	E
