R package version: 0.0-4
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: CSM Lydall
x-axis screen ID: QFA0044
x-axis screen name: G4Quad_Drugs
x-axis libraries: SDLV4_384
x-axis client: EJA
x-axis user: EJA
x-axis date: 2011/10/17
x-axis PI: DAL
x-axis condition: CSM Lydall
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP_PLOS_ONE
y-axis treatment: 30
y-axis medium: 100mM_HU_CSM 
y-axis screen ID: QFA0044
y-axis screen name: G4Quad_Drugs
y-axis libraries: SDLV4_384
y-axis client: EJA
y-axis user: EJA
y-axis date: 2011/10/17
y-axis PI: DAL
y-axis condition: 100mM_HU_CSM 
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP_PLOS_ONE
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	TestType	Type
YJL027C	YJL027C	0.007471142907866	0.396062810449094	-147.087878887049	0	286.085432117199	44.1732016368493	0	t-test	E
YFR041C	ERJ5	0.00293897147465783	0.186283668421016	-128.864228395185	0	250.640492906936	27.9907046949963	0	t-test	E
YDR386W	MUS81	0.000441048959677743	0.0513660572165262	-120.419475719618	0	234.215477218406	13.7533741265883	0	t-test	E
YHR059W	FYV4	0.000255217810020667	0.0415152765359876	-117.357019004124	0	228.259009157125	11.155316028832	0	t-test	E
YBR171W	SEC66	0.000281428476997733	0.0415152765359876	-115.695804148037	0	225.027951822291	11.363877028187	0	t-test	E
YDL059C	RAD59	7.47522947658027e-05	0.0200616471077723	-112.805708880817	0	219.406726200991	7.109639926467	0	t-test	E
YDR004W	RAD57	0.000228640504426111	0.0392712930402288	-109.831520434139	0	213.621939627114	10.0621932125569	0	t-test	E
YBL094C	YBL094C	0.00272606108088681	0.18290166064575	-109.257089833083	0	212.504674030739	23.1274914352402	0	t-test	E
YBR098W	MMS4	0.000200156061955335	0.0386689337457471	-104.461803073601	11.3738787437848	225.30001342099	18.5602449424762	6.60611947529527	t-test	E
YBR099C	YBR099C	2.22596083700511e-05	0.0095592516439362	-103.761026760568	5.62057134536056	212.746842204682	12.5919996328026	5.62057134536056	t-test	E
YFR039C	YFR039C	4.94554966341136e-05	0.0163355309651449	-102.204175342196	12.0137020622175	222.153389252715	8.8774821867224	6.9459402990056	t-test	E
