ORF	Gene	Reason
YNL115C	YNL115C	Linkage with YNL102W_POL1
YNL113W	RPC19	Linkage with YNL102W_POL1
YNL114C	YNL114C	Linkage with YNL102W_POL1
YNL112W	DBP2	Linkage with YNL102W_POL1
YNL111C	CYB5	Linkage with YNL102W_POL1
YNL110C	NOP15	Linkage with YNL102W_POL1
YNL109W	YNL109W	Linkage with YNL102W_POL1
YNL108C	YNL108C	Linkage with YNL102W_POL1
YNL107W	YAF9	Linkage with YNL102W_POL1
YNL105W	RRT16	Linkage with YNL102W_POL1
YNL106C	INP52	Linkage with YNL102W_POL1
YNL104C	LEU4	Linkage with YNL102W_POL1
YNL103W	MET4	Linkage with YNL102W_POL1
YNL102W	POL1	Linkage with YNL102W_POL1
YNL101W	AVT4	Linkage with YNL102W_POL1
YNL100W	MIC27	Linkage with YNL102W_POL1
YNL099C	OCA1	Linkage with YNL102W_POL1
YNL098C	RAS2	Linkage with YNL102W_POL1
YNL097C	PHO23	Linkage with YNL102W_POL1
YNL096C	RPS7B	Linkage with YNL102W_POL1
YNL095C	YNL095C	Linkage with YNL102W_POL1
YNL094W	APP1	Linkage with YNL102W_POL1
YNL275W	BOR1	Linkage with YNL268W_LYP1
YNL274C	GOR1	Linkage with YNL268W_LYP1
YNL273W	TOF1	Linkage with YNL268W_LYP1
YNL272C	SEC2	Linkage with YNL268W_LYP1
YNL271C	BNI1	Linkage with YNL268W_LYP1
YNL270C	ALP1	Linkage with YNL268W_LYP1
YNL268W	LYP1	Linkage with YNL268W_LYP1
YNL267W	PIK1	Linkage with YNL268W_LYP1
YNL266W	YNL266W	Linkage with YNL268W_LYP1
YNL265C	IST1	Linkage with YNL268W_LYP1
YNL263C	YIF1	Linkage with YNL268W_LYP1
YNL262W	POL2	Linkage with YNL268W_LYP1
YNL261W	ORC5	Linkage with YNL268W_LYP1
YNL260C	LTO1	Linkage with YNL268W_LYP1
YNL259C	ATX1	Linkage with YNL268W_LYP1
YEL071W	DLD3	Linkage with YEL063C_CAN1
YEL068C	YEL068C	Linkage with YEL063C_CAN1
YEL066W	HPA3	Linkage with YEL063C_CAN1
YEL067C	YEL067C	Linkage with YEL063C_CAN1
YEL065W	SIT1	Linkage with YEL063C_CAN1
YEL064C	AVT2	Linkage with YEL063C_CAN1
YEL063C	CAN1	Linkage with YEL063C_CAN1
YEL062W	NPR2	Linkage with YEL063C_CAN1
YEL061C	CIN8	Linkage with YEL063C_CAN1
YEL060C	PRB1	Linkage with YEL063C_CAN1
YEL059W	HHY1	Linkage with YEL063C_CAN1
YEL058W	PCM1	Linkage with YEL063C_CAN1
YEL057C	YEL057C	Linkage with YEL063C_CAN1
YEL056W	HAT2	Linkage with YEL063C_CAN1
YEL055C	POL5	Linkage with YEL063C_CAN1
YAL048C	GEM1	Missing from final SGA plate
YBR132C	AGP2	Missing from final SGA plate
YGL116W	CDC20	Missing from final SGA plate
YGL218W	YGL218W	Missing from final SGA plate
YGR105W	VMA21	Missing from final SGA plate
YHR070W	TRM5	Missing from final SGA plate
YHR083W	SAM35	Missing from final SGA plate
YIL150C	MCM10	Missing from final SGA plate
YKL053C-A	MDM35	Missing from final SGA plate
YLL006W	MMM1	Missing from final SGA plate
YLR166C	SEC10	Missing from final SGA plate
YLR230W	YLR230W	Missing from final SGA plate
YLR337C	VRP1	Missing from final SGA plate
YML129C	COX14	Missing from final SGA plate
YOL009C	MDM12	Missing from final SGA plate
YOL078W	AVO1	Missing from final SGA plate
YOR157C	PUP1	Missing from final SGA plate
YDL033C	SLM3	Missing from final SGA plate
YGL201C	MCM6	Missing from final SGA plate
YGR048W	UFD1	Missing from final SGA plate
YGR246C	BRF1	Missing from final SGA plate
YHR164C	DNA2	Missing from final SGA plate
YIL021W	RPB3	Missing from final SGA plate
YIL134W	FLX1	Missing from final SGA plate
YIL144W	NDC80	Missing from final SGA plate
YJL076W	NET1	Missing from final SGA plate
YJR090C	GRR1	Missing from final SGA plate
YKL101W	HSL1	Missing from final SGA plate
YKL165C	MCD4	Missing from final SGA plate
YLR318W	EST2	Missing from final SGA plate
YLR321C	SFH1	Missing from final SGA plate
YML111W	BUL2	Missing from final SGA plate
YNL114C	YNL114C	Missing from final SGA plate
YNL236W	SIN4	Missing from final SGA plate
YNL312W	RFA2	Missing from final SGA plate
YNL317W	PFS2	Missing from final SGA plate
YOR004W	UTP23	Missing from final SGA plate
YOR336W	KRE5	Missing from final SGA plate
YBR089W	YBR089W	Manually stripped LHS Fitness Plot
YBR190W	YBR190W	Manually stripped LHS Fitness Plot
YDL041W	YDL041W	Manually stripped LHS Fitness Plot
YDR355C	YDR355C	Manually stripped LHS Fitness Plot
YGL214W	YGL214W	Manually stripped LHS Fitness Plot
YLL044W	YLL044W	Manually stripped LHS Fitness Plot
YLR076C	YLR076C	Manually stripped LHS Fitness Plot
YOR302W	YOR302W	Manually stripped LHS Fitness Plot
YGL105W	ARC1	Manually stripped LHS Fitness Plot
YDL004W	ATP16	Manually stripped LHS Fitness Plot
